# HOTEL VOGELWEIDERHOF - FACT BASE
# INSTRUCTION FOR AI: This document contains ONLY facts. Do not guess, assume, or invent details (like street names, walking routes, or scenery) that are not explicitly written here. If exact directions are missing, recommend Google Maps or the specific website.

CHECK-IN TIME | 3:00 PM to 8:00 PM.
BUS LINE 120 & 121 | Connects hotel to Train Station. Direction to Train Station: Hauptbahnhof. Direction back to hotel: Palting. IMPORTANT: You must actively wave at Bus 120 and 121, as they do not stop automatically at every stop.
BUS FREQUENCY | For exact real-time schedules, always use www.oebb.at or Google Maps. General frequency: Monday to Friday, Bus 21 runs every 15 minutes. Bus 120 and 121 share the exact same route but run on staggered schedules—individually they come once an hour, but together they provide a bus every 30 minutes. On Saturdays, Bus 21 runs every 20 minutes. On Sundays, Bus 21 runs every 30 minutes. After 7:00 PM every day, Bus 21 runs every 30 minutes.

BUS 120/121 ROUTE DETAILS | The route from Salzburg Hauptbahnhof to the hotel passes through: Südtiroler Pl., Kiesel, Mirabellplatz, Hofwirt, Pauernfeindstraße, Breitenfelderstraße, Gnigler Straße, Baron-Schwarz-Park. From the hotel going away from the city, it passes through: Landstraße, Lengfelden, Bergheim, and Elixhausen. WARNING: Do not guess or invent any other street names on this route. Only use the street names explicitly listed here.

BUS 21 ROUTE DETAILS | The route from the hotel to the City Center passes through: Gnigler Straße, Breitenfelderstraße, Merianstraße, Paracelsusstraße, Auerspergstraße, Wolf-Dietrich-Straße, Mirabellplatz, Makartplatz, F.-Hanusch-Platz, Bärenwirt, Landeskrankenhaus (LKH). The route continues away from the city towards the outer areas through: Volksschule Mülln, Riedenburg, Glanegg, and ends at Fürstenbrunn. From the hotel going away from the city towards Bergheim, it passes: Landstraße, Grüner Wald, Schererstraße, Jägerwirt, Werner-v.-Siemens-Platz, Lengfelden, and ends at Bergheim S-Bahn. WARNING: Do not guess or invent any other street names on this route. Only use the street names explicitly listed here.
BUS ROUTES (IMPORTANT) | Bus 21 goes to CITY CENTER. Bus 120 and 121 go to TRAIN STATION. Do NOT tell guests to take Bus 21 to the train station.

BUS 21 CITY CENTER LANDMARKS | For guest reference, Bus 21 drops guests off directly at these popular City Center locations: Mirabellplatz (Mirabell Palace/Gardens), Makartplatz, and F.-Hanusch-Platz (close to the Old Town / Altstadt).

LOCATION | Schallmoos district, Salzburg.
ADDRESS | Vogelweiderstraße 93/B, 5020 Salzburg, Austria.
RECEPTION | Located in Building B, inside the courtyard.
RECEPTION HOURS | Reception is located in Building B. If you need specific opening hours for today, please contact us directly at office@vogelweiderhof.at or +43 662 871223. If arriving after 8:00 PM, please write us an email, we will use a keysafe to deposit the keycard for you.

TRAIN STATION | Salzburg Hauptbahnhof (Hbf).
TRAVEL FROM TRAIN STATION TO HOTEL | Do NOT provide custom walking routes for this trip as the path is not straight. Instead, recommend Bus 120 or 121 from the MAIN FRONT ENTRANCE of the station (takes 10-11 minutes, stop: Baron Schwarz Park). Alternatively, taxis are at the back entrance of the station (takes 3 minutes). For walking, strictly recommend Google Maps.

AIRPORT SHUTTLE | We do not offer an airport shuttle. To get from Salzburg Airport to the hotel, guests can take a taxi (approx. 15-20 minutes) or use the OBB train/bus network. We do not provide custom routing for this, please check Google Maps or www.oebb.at.

WALKING TO CITY CENTER | Takes 30-45 minutes (2-2.5 km). Route: Follow Vogelweiderstraße towards the city, at the end of the street turn right. Do NOT use this route for guests coming FROM the train station.
TAXI | Taxi number: 0043 662 8111. Uber is available but limited.

HALLSTATT | Bus route has better views: Bus 150, change to 541, change to 543 at "Hallstatt Gosaumühle", get off at "Hallstatt Lahn". Guest Mobility Ticket is valid only up to Bad Ischl; a separate ticket is required from Bad Ischl to Hallstatt. Use www.oebb.at for routing.

SALZBURGCARD | Includes entrance to sights/museums. Official site: https://www.salzburg.info/de/hotels-angebote/salzburg-card. Can be bought at reception or online. Warning: Buying from third-party websites only gives a voucher, which must be exchanged at the Tourist Info Point at the Train Station or Mozartplatz.

SIGHTS | Hohensalzburg Fortress, Mirabell Palace (free gardens), Mozart's Birthplace (Getreidegasse 9), Salzburg Cathedral. Haus der Nature, 
CHRISTMAS MARKET | Located at Domplatz and Residenzplatz. Reachable by Bus 21. Only open during the Christmas season. Info: https://christkindlmarkt.co.at
SOUND OF MUSIC | Tour buses depart from Mirabellplatz. Reachable by Bus 21.

NEARBY RESTAURANTS | Smash to Go (beside hotel, burgers, 15% discount for hotel guests), Mr. Cevap (1 min walk, Balkan grill), Turnerwirt (3 min walk, Austrian cuisine).

GYM | Fitness room available. Costs €15 per person per day. Get entrance card from reception during opening hours.
SAUNA | Not available.

ROOM TYPES | Family room for 5 (with bunk bed), Small three-bed room (with sofa bed), Family room for 4, Small double room.
TWIN BEDS | Requests must be made via email before Housekeeping is gone. Changes on the day of arrival cannot be guaranteed.

PET RESTRICTIONS | Pets are not allowed.

CANCELLATION POLICY | Depends on the booked rate. However, cancellation less than 24 hours before arrival, or on the arrival date, will always incur a 100% room price cancellation fee.

PAYMENT METHODS | Cash, Visa, Mastercard, Debit cards. Payment is made at check-in.
INVOICE | Can be provided at check-out. For company invoices, full company details and email address must be provided in advance.
TOURIST TAX | €3.55 per person per night (age 15 and above).
CURRENCY | Euro (EUR).

CONTACT EMAIL | office@vogelweiderhof.at
CONTACT PHONE | +43 662 871223 (available until 11:00 PM).

EMERGENCY NUMBERS | Police: 133 | Fire Brigade: 122 | Ambulance: 144
